LONGITUD_X,LATITUD_Y,DISTRICTE,TIPUS_CARRER,CARRER
2.165733516,41.37818292,CIUTAT VELLA,Carrer,CARME
2.179151071,41.41213416,SANT MARTI,Carrer,INDUSTRIA
2.179151071,41.41213416,SANT MARTI,Carrer,INDUSTRIA
2.169945817,41.38088211,CIUTAT VELLA,Carrer,CARME
2.169945817,41.38088211,CIUTAT VELLA,Carrer,CARME
2.169945817,41.38088211,CIUTAT VELLA,Carrer,CARME
2.168990426,41.39190714,L'EIXAMPLE,Carrer,BRUC
2.204886679,41.40372052,SANT MARTI,Carrer,PUJADES
2.179151071,41.41213416,SANT MARTI,Carrer,INDUSTRIA
2.158237765,41.40048459,GRACIA,Travessera,GRACIA
2.179151071,41.41213416,SANT MARTI,Carrer,INDUSTRIA
2.153645469,41.37819784,L'EIXAMPLE,Carrer,CALABRIA
2.179177834,41.40514984,L'EIXAMPLE,Carrer,MALLORCA
2.147455758,41.38259356,L'EIXAMPLE,Carrer,CALABRIA
2.211502937,41.4033672,SANT MARTI,Passeig,TAULAT
2.199409274,41.39501368,SANT MARTI,Carrer,DOCTOR TRUETA
2.156355457,41.37175171,SANTS-MONTJUÏC,Carrer,OLIVERA
2.174391618,41.3810495,CIUTAT VELLA,Carrer,SALOMO BEN ADRET
2.169945817,41.38088211,CIUTAT VELLA,Carrer,CARME
2.169945817,41.38088211,CIUTAT VELLA,Carrer,CARME
2.169945817,41.38088211,CIUTAT VELLA,Carrer,CARME
2.169945817,41.38088211,CIUTAT VELLA,Carrer,CARME
2.169945817,41.38088211,CIUTAT VELLA,Carrer,CARME
2.169945817,41.38088211,CIUTAT VELLA,Carrer,CARME
2.169945817,41.38088211,CIUTAT VELLA,Carrer,CARME
2.203170876,41.40089757,SANT MARTI,Carrer,LLULL
2.17265167,41.3993843,L'EIXAMPLE,Carrer,SICILIA
2.155398096,41.39802638,GRACIA,Carrer,SANT DOMENEC
2.155398096,41.39802638,GRACIA,Carrer,SANT DOMENEC
2.168088163,41.39429517,L'EIXAMPLE,Carrer,GIRONA
2.168088163,41.39429517,L'EIXAMPLE,Carrer,GIRONA
2.143137046,41.39214199,SARRIA-SANT GERVASI,Carrer,CALVET
2.177013178,41.37815307,CIUTAT VELLA,Carrer,SERRA
