DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
10/03/2023,42,Moianès,082397,Sant Quirze Safaja,0.09,0.00,0.00,0.09
11/03/2023,02,Alt Empordà,170412,Cantallops,0.21,0.00,0.00,0.21
11/03/2023,17,Garraf,080749,Cubelles,1.25,1.12,1.00,2.37
11/03/2023,02,Alt Empordà,170010,Agullana,0.50,0.00,0.00,0.50
11/03/2023,40,Vallès Occidental,082055,Sant Cugat del Vallès,0.00,0.00,0.00,0.00
11/03/2023,34,Selva,171642,Sant Hilari Sacalm,0.06,0.10,0.00,0.16
11/03/2023,34,Selva,171595,Sant Feliu de Buixalleu,0.03,0.00,0.00,0.03
12/03/2023,10,Baix Empordà,179026,Forallac,0.07,0.00,0.00,0.07
12/03/2023,37,Terra Alta,430640,Gandesa,0.00,0.04,0.00,0.04
13/03/2023,40,Vallès Occidental,082917,Vacarisses,0.00,0.00,0.00,0.00
13/03/2023,02,Alt Empordà,170643,Espolla,0.02,0.00,0.00,0.02
13/03/2023,28,Pla de l'Estany,170353,Camós,0.35,0.00,0.00,0.35
14/03/2023,09,Baix Ebre,431042,"Perelló, el",0.80,0.00,0.00,0.80
14/03/2023,02,Alt Empordà,170932,Llers,0.02,0.07,0.00,0.09
14/03/2023,40,Vallès Occidental,082917,Vacarisses,0.00,0.04,0.00,0.04
14/03/2023,11,Baix Llobregat,080898,Gavà,0.00,0.08,0.00,0.08
14/03/2023,08,Baix Camp,431457,"Selva del Camp, la",0.46,11.31,1.00,11.77
14/03/2023,20,Gironès,170792,Girona,0.00,0.02,0.00,0.02
14/03/2023,12,Baix Penedès,430379,Calafell,12.03,6.12,0.00,18.15
15/03/2023,10,Baix Empordà,170486,Castell-Platja d'Aro,0.01,0.00,0.00,0.01
15/03/2023,06,Anoia,081192,Masquefa,0.43,0.00,0.00,0.43
16/03/2023,20,Gironès,170792,Girona,0.48,0.00,0.00,0.48
16/03/2023,30,Ribera d'Ebre,430192,Ascó,0.00,0.11,0.00,0.11
16/03/2023,39,Aran,250637,Canejan,0.00,335.00,0.00,335.00
18/03/2023,04,Alt Urgell,251850,Ribera d'Urgellet,0.00,0.01,0.00,0.01
19/03/2023,03,Alt Penedès,082325,Sant Pere de Riudebitlles,0.00,0.15,0.00,0.15
22/03/2023,16,Conca de Barberà,431726,Vilaverd,1.57,0.00,0.00,1.57
22/03/2023,40,Vallès Occidental,082798,Terrassa,0.00,0.07,0.00,0.07
22/03/2023,40,Vallès Occidental,082917,Vacarisses,0.00,0.01,0.00,0.01
25/03/2023,20,Gironès,170736,Fornells de la Selva,0.01,0.00,0.00,0.01
26/03/2023,23,Noguera,250621,Camarasa,0.80,0.51,0.00,1.31
26/03/2023,23,Noguera,250404,Balaguer,0.03,0.00,0.00,0.03
26/03/2023,06,Anoia,081614,Piera,0.00,0.00,0.00,0.00
26/03/2023,01,Alt Camp,431606,Vallmoll,0.00,0.69,0.00,0.69
27/03/2023,16,Conca de Barberà,430862,Montblanc,0.10,0.30,0.00,0.40
28/03/2023,18,Garrigues,251180,Juncosa,0.00,0.03,0.00,0.03
29/03/2023,23,Noguera,250220,Alòs de Balaguer,0.00,0.01,0.00,0.01
29/03/2023,02,Alt Empordà,170059,"Far d'Empordà, el",0.00,0.02,0.00,0.02
30/03/2023,12,Baix Penedès,430901,"Montmell, el",0.33,0.00,0.00,0.33
31/03/2023,09,Baix Ebre,439060,"Ampolla, l'",0.00,0.23,0.00,0.23
01/04/2023,20,Gironès,170890,Llagostera,0.00,0.00,0.00,0.00
