LONGITUD_X,LATITUD_Y,DISTRICTE,TIPUS_CARRER,CARRER
2.156151328,41.40039537,GRACIA,TRAVESSERA,GRACIA
2.156151328,41.40039537,GRACIA,TRAVESSERA,GRACIA
2.156151328,41.40039537,GRACIA,TRAVESSERA,GRACIA
2.156151328,41.40039537,GRACIA,TRAVESSERA,GRACIA
2.156151328,41.40039537,GRACIA,TRAVESSERA,GRACIA
2.156151328,41.40039537,GRACIA,TRAVESSERA,GRACIA
2.16205331,41.38619583,L'EIXAMPLE,CARRER,ARIBAU
2.161066264,41.38603472,L'EIXAMPLE,CARRER,DIPUTACIO
2.161066264,41.38603472,L'EIXAMPLE,CARRER,DIPUTACIO
2.161066264,41.38603472,L'EIXAMPLE,CARRER,DIPUTACIO
2.210431706,41.40344702,SANT MARTI,PASSEIG,TAULAT
2.147248824,41.40952381,GRACIA,CARRER,BOLIVAR
2.176899365,41.41128949,SANT MARTI,CARRER,INDUSTRIA
2.176899365,41.41128949,SANT MARTI,CARRER,INDUSTRIA
2.172827153,41.39837373,L'EIXAMPLE,CARRER,ARAGO
2.156151328,41.40039537,GRACIA,TRAVESSERA,GRACIA
2.156151328,41.40039537,GRACIA,TRAVESSERA,GRACIA
2.156151328,41.40039537,GRACIA,TRAVESSERA,GRACIA
2.153358019,41.37854053,L'EIXAMPLE,GRAN VIA,CORTS CATALANES
2.170167639,41.39288628,L'EIXAMPLE,CARRER,DIPUTACIO
2.153358019,41.37854053,L'EIXAMPLE,GRAN VIA,CORTS CATALANES
2.153358019,41.37854053,L'EIXAMPLE,GRAN VIA,CORTS CATALANES
2.1691903,41.39614379,L'EIXAMPLE,CARRER,GIRONA
2.182745388,41.39155347,SANT MARTI,CARRER,ALMOGAVERS
2.210217785,41.40470091,SANT MARTI,CARRER,PELLAIRES
2.195165415,41.38814025,SANT MARTI,CARRER,MARINA
2.204236287,41.40860008,SANT MARTI,CARRER,FLUVIA
2.160448399,41.38256174,L'EIXAMPLE,CARRER,VILLARROEL
2.176123317,41.39356811,L'EIXAMPLE,CARRER,CASP
2.156679526,41.38273352,L'EIXAMPLE,CARRER,DIPUTACIO
2.160430058,41.39347774,L'EIXAMPLE,RAMBLA,CATALUNYA
2.20763342,41.39932466,SANT MARTI,CARRER,VIDAL I DE VALENCIANO
2.178565554,41.39200047,L'EIXAMPLE,CARRER,ALI BEI
2.178565554,41.39200047,L'EIXAMPLE,CARRER,ALI BEI
2.182123614,41.39779895,L'EIXAMPLE,CARRER,CASP
2.13832497,41.3770395,SANTS-MONTJUÏC,CARRER,RIEGO
2.13832497,41.3770395,SANTS-MONTJUÏC,CARRER,RIEGO
2.13832497,41.3770395,SANTS-MONTJUÏC,CARRER,RIEGO
2.13832497,41.3770395,SANTS-MONTJUÏC,CARRER,RIEGO
2.13832497,41.3770395,SANTS-MONTJUÏC,CARRER,RIEGO
2.13832497,41.3770395,SANTS-MONTJUÏC,CARRER,RIEGO
2.13832497,41.3770395,SANTS-MONTJUÏC,CARRER,RIEGO
2.18412206,41.39784974,L'EIXAMPLE,CARRER,AUSIAS MARC
2.184894458,41.40744147,SANT MARTI,CARRER,ARAGO
2.184894458,41.40744147,SANT MARTI,CARRER,ARAGO
2.184894458,41.40744147,SANT MARTI,CARRER,ARAGO
2.184894458,41.40744147,SANT MARTI,CARRER,ARAGO
2.184894458,41.40744147,SANT MARTI,CARRER,ARAGO
2.184894458,41.40744147,SANT MARTI,CARRER,ARAGO
2.184894458,41.40744147,SANT MARTI,CARRER,ARAGO
2.184894458,41.40744147,SANT MARTI,CARRER,ARAGO
2.184894458,41.40744147,SANT MARTI,CARRER,ARAGO
2.169131442,41.39618827,L'EIXAMPLE,CARRER,GIRONA
2.153358019,41.37854053,L'EIXAMPLE,GRAN VIA,CORTS CATALANES
2.16147559,41.38833689,L'EIXAMPLE,CARRER,ENRIC GRANADOS
2.13832497,41.3770395,SANTS-MONTJUÏC,CARRER,RIEGO
2.17068944,41.38834878,L'EIXAMPLE,RONDA,SANT PERE
2.17068944,41.38834878,L'EIXAMPLE,RONDA,SANT PERE
2.17068944,41.38834878,L'EIXAMPLE,RONDA,SANT PERE
2.17068944,41.38834878,L'EIXAMPLE,RONDA,SANT PERE
2.17068944,41.38834878,L'EIXAMPLE,RONDA,SANT PERE
2.17068944,41.38834878,L'EIXAMPLE,RONDA,SANT PERE
2.17068944,41.38834878,L'EIXAMPLE,RONDA,SANT PERE
2.17068944,41.38834878,L'EIXAMPLE,RONDA,SANT PERE
2.184894458,41.40744147,SANT MARTI,CARRER,ARAGO
2.150036649,41.38019371,L'EIXAMPLE,CARRER,ENTENÇA
2.150036649,41.38019371,L'EIXAMPLE,CARRER,ENTENÇA
2.150036649,41.38019371,L'EIXAMPLE,CARRER,ENTENÇA
2.150036649,41.38019371,L'EIXAMPLE,CARRER,ENTENÇA
2.152845538,41.3781991,L'EIXAMPLE,GRAN VIA,CORTS CATALANES
2.182865776,41.40803773,SANT MARTI,CARRER,INDEPENDENCIA
2.182865776,41.40803773,SANT MARTI,CARRER,INDEPENDENCIA
2.182865776,41.40803773,SANT MARTI,CARRER,INDEPENDENCIA
2.182865776,41.40803773,SANT MARTI,CARRER,INDEPENDENCIA
2.182865776,41.40803773,SANT MARTI,CARRER,INDEPENDENCIA
2.182865776,41.40803773,SANT MARTI,CARRER,INDEPENDENCIA
2.182865776,41.40803773,SANT MARTI,CARRER,INDEPENDENCIA
2.182865776,41.40803773,SANT MARTI,CARRER,INDEPENDENCIA
2.182865776,41.40803773,SANT MARTI,CARRER,INDEPENDENCIA
2.166291964,41.40807208,GRACIA,PASSATGE,NOGUES
2.154492697,41.39048009,L'EIXAMPLE,CARRER,MUNTANER
2.175263,41.39155797,L'EIXAMPLE,CARRER,GIRONA
2.175263,41.39155797,L'EIXAMPLE,CARRER,GIRONA
2.154670595,41.38775534,L'EIXAMPLE,CARRER,MALLORCA
2.12419099,41.39853843,SARRIA-SANT GERVASI,CARRER,MARE DE DEU DE NURIA
2.166472329,41.3904748,L'EIXAMPLE,PASSEIG,GRACIA
2.173273332,41.4112917,HORTA-GUINARDÓ,TRAVESSERA,GRACIA
2.173273332,41.4112917,HORTA-GUINARDÓ,TRAVESSERA,GRACIA
2.172827153,41.39837373,L'EIXAMPLE,CARRER,ARAGO
2.172827153,41.39837373,L'EIXAMPLE,CARRER,ARAGO
2.170311821,41.39605356,L'EIXAMPLE,CARRER,ARAGO
2.135022333,41.39837266,SARRIA-SANT GERVASI,CARRER,GANDUXER
2.151239022,41.38858625,L'EIXAMPLE,CARRER,ROSSELLO
2.178473724,41.39300963,L'EIXAMPLE,PASSEIG,SANT JOAN
2.184894458,41.40744147,SANT MARTI,CARRER,ARAGO
2.184894458,41.40744147,SANT MARTI,CARRER,ARAGO
2.157713858,41.39343953,L'EIXAMPLE,CARRER,ROSSELLO
2.19975414,41.40509348,SANT MARTI,CARRER,PERE IV
2.150036649,41.38019371,L'EIXAMPLE,CARRER,ENTENÇA
2.150036649,41.38019371,L'EIXAMPLE,CARRER,ENTENÇA
2.126974788,41.39232995,SARRIA-SANT GERVASI,CARRER,BENET MATEU
2.182865776,41.40803773,SANT MARTI,CARRER,INDEPENDENCIA
2.182865776,41.40803773,SANT MARTI,CARRER,INDEPENDENCIA
2.160678183,41.38952903,L'EIXAMPLE,PLAÇA,DOCTOR LETAMENDI
2.159562773,41.37745594,L'EIXAMPLE,CARRER,TAMARIT
