N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y,
05-2013-0219,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Carrer,FERRAN PUIG,1,15,,,,,,,2,3,HUTB-005685,7,2.144815402,41.40634469,
01-2013-0307,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT ANTONI DELS SOMBRERERS,2,4,,,,,,,5,1,HUTB-002181,2,2.180600113,41.38224117
01-2013-0308,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT ANTONI DELS SOMBRERERS,2,4,,,,,,,4,2,HUTB-002180,2,2.180600113,41.38224117
10-2013-0649,10,SANT MARTI,69,Diagonal Mar i el Front Marítim del Poblenou,Passeig,TAULAT,1,235,,,,,,,6,1,HUTB-007384,6,2.20932842,41.40159856,
01-2013-0245,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,2,6,,,,,,,2,4,HUTB-003804,8,2.179090576,41.38178453
01-2013-0246,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,2,6,,,,,,,3,,HUTB-003805,5,2.179090576,41.38178453
01-2013-0248,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,2,6,,,,,,,PR,2,HUTB-003810,5,2.179090576,41.38178453
01-2013-0249,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,2,6,,,,,,,EN,2,HUTB-003807,5,2.179090576,41.38178453
01-2013-0251,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,2,6,,,,,,,1,1,HUTB-003798,7,2.179090576,41.38178453
01-2013-0253,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,2,6,,,,,,,2,3,HUTB-003803,5,2.179090576,41.38178453
01-2013-0254,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,ARGENTERIA,2,6,,,,,,,2,2,HUTB-003802,5,2.179090576,41.38178453
09-2013-0270,9,SANT ANDREU,60,Sant Andreu,Carrer,CONCEPCION ARENAL,2,234,,,,,,,1,1,HUTB-007394,6,2.183463386,41.42943684,
02-2013-1725,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ROCAFORT,2,102,,,,,,,EN,2,HUTB-007358,8,2.151161481,41.3783702,
02-2013-1726,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ROCAFORT,2,102,,,,,,,1,1,HUTB-007361,8,2.151161481,41.3783702,
02-2013-1727,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ROCAFORT,2,102,,,,,,,5,4,HUTB-007360,8,2.151161481,41.3783702,
02-2013-1728,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ROCAFORT,2,102,,,,,,,EN,1,HUTB-007357,8,2.151161481,41.3783702,
06-2013-0258,6,GRACIA,31,la Vila de Gràcia,Carrer,SAMSO,2,2,,,,,,,1,3,HUTB-005823,4,2.15926706,41.39950779,
06-2013-0259,6,GRACIA,31,la Vila de Gràcia,Carrer,SAMSO,2,2,,,,,,,1,2,HUTB-005824,5,2.15926706,41.39950779,
02-2013-0814,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,1,329,,,,,,,1,1,HUTB-005865,8,2.16784011,41.39522839,
02-2013-1635,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ARAGO,1,39,,,,,,,1,3,HUTB-007256,7,2.146855552,41.37772096,
06-2013-0542,6,GRACIA,31,la Vila de Gràcia,Carrer,MONTSENY,1,15,,,,,,,BJ,1,HUTB-007342,13,2.153444443,41.40002953,
02-2013-1664,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Gran Via,CORTS CATALANES,2,620,,,,,,,AT,4B,HUTB-007306,3,2.165527345,41.38600733,
06-2013-0544,6,GRACIA,31,la Vila de Gràcia,Carrer,JAEN,2,6,,,,,,,1,3,HUTB-007319,4,2.154515676,41.40146684,
02-2013-1665,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Avinguda,DIAGONAL,1,305,,,,,,,PR,2B,HUTB-007310,4,2.1720718,41.39785736,
06-2013-0545,6,GRACIA,31,la Vila de Gràcia,Carrer,MARTI,1,43,,,,,,,3,5,HUTB-007335,4,2.155177385,41.40559314,
06-2014-0332,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,PARE LAINEZ,1,29,,,,,,,4,,HUTB-009873,4,2.164086818,41.40509649,
07-2014-0131,7,HORTA-GUINARDÓ,33,el Baix Guinardó,Ronda,GUINARDO,2,26,,,,,,,6,1,HUTB-009842,5,2.162824364,41.40986918,
07-2013-0067,7,HORTA-GUINARDÓ,35,el Guinardó,Carrer,SEGLE XX,1,33,,,,,,,,,HUTB-005407,7,2.175833323,41.4210769,
02-2013-0528,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,PARIS,2,38,,,,,,,1,1,HUTB-005537,8,2.141906447,41.38393901,
03-2013-0300,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,BLESA,1,47,,,,,,,2,1,HUTB-005943,6,2.165686514,41.37089243,
10-2013-0288,10,SANT MARTI,67,la Vila Olímpica del Poblenou,Avinguda,ICARIA,2,180,,,,,,,2,2,HUTB-005698,3,2.197450111,41.39041091,
01-2013-0309,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT ANTONI DELS SOMBRERERS,2,4,,,,,,,4,1,HUTB-002179,2,2.180600113,41.38224117
10-2013-0350,10,SANT MARTI,69,Diagonal Mar i el Front Marítim del Poblenou,Carrer,FLUVIA,1,97,,,,,,,13,6,HUTB-005867,8,2.204818861,41.40580145,
02-2013-0842,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Ronda,SANT PERE,2,44,,,,,,,PR,2B,HUTB-005878,4,2.17493921,41.38817964,
03-2013-0292,3,SANTS-MONTJUÏC,18,Sants,Avinguda,JOSEP TARRADELLAS,1,23,,,,,,,1,3,HUTB-005881,10,2.141008368,41.38052836,
05-2013-0287,5,SARRIA-SANT GERVASI,25,Sant Gervasi - la Bonanova,Carrer,BISBE SIVILLA,1,41,,,,,,,EN,2,HUTB-005942,8,2.13287916,41.40187616,
02-2013-1735,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,LEPANT,1,315,,,,,,,4,2,HUTB-007326,4,2.172350443,41.40489541,
02-2013-1736,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,LEPANT,1,315,,,,,,,2,1,HUTB-007325,4,2.172350443,41.40489541,
02-2013-1768,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ARAGO,1,347,,,,,,,8,2,HUTB-010749,4,2.170166391,41.39532992,
02-2013-0652,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Avinguda,JOSEP TARRADELLAS,2,56,,,,,,,2,2,HUTB-007626,11,2.14179967,41.38306849,
02-2013-0653,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Avinguda,JOSEP TARRADELLAS,2,56,,,,,,,PR,2,HUTB-005690,11,2.14179967,41.38306849,
05-2013-0216,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,MADRAZO,1,135,,,,,,,1,2,HUTB-005673,6,2.143113184,41.39468758,
02-2013-0774,2,L'EIXAMPLE,5,el Fort Pienc,Carrer,SARDENYA,2,248,,,,,,,2,2,HUTB-006117,4,2.177394335,41.39778178,
03-2013-0499,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,FONTRODONA,1,17,,,,,,,4,1,HUTB-007317,4,2.166125732,41.37159232,
02-2013-1610,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,46,,,,,,,1,,HUTB-007286,8,2.163306763,41.38872586,
02-2013-1611,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,46,,,,,,,2,,HUTB-007287,8,2.163306763,41.38872586,
02-2013-1612,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,46,,,,,,,3,,HUTB-007291,8,2.163306763,41.38872586,
02-2013-1613,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,46,,,,,,,4,,HUTB-007288,8,2.163306763,41.38872586,
02-2013-1614,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,46,,,,,,,5,,HUTB-007289,8,2.163306763,41.38872586,
02-2013-1615,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,46,,,,,,,6,,HUTB-007290,8,2.163306763,41.38872586,
01-2013-0300,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT ANTONI DELS SOMBRERERS,2,4,,,,,,,5,2,HUTB-002182,2,2.180600113,41.38224117
02-2013-0529,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,2,238,,,,,,,AT,8,HUTB-005538,5,2.156674308,41.38994213,
01-2013-0301,1,CIUTAT VELLA,4,Sant Pere, Santa Caterina i la Ribera,Carrer,SANT ANTONI DELS SOMBRERERS,2,4,,,,,,,2,1,HUTB-002175,2,2.180600113,41.38224117
