id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32323611,The Bicycle Apartments - Family,55230394,The Bicycle Apartments,Sants-Montjuïc,la Bordeta,41.3719,2.13857,Entire home/apt,1000,2,1,2020-01-31,0.03,6,0,0,HUTB-010769
32159358,Sagrada Familia 44,174751009,Albert,Eixample,la Sagrada Família,41.40646,2.172,Entire home/apt,124,1,44,2022-09-30,0.94,20,268,6,HUTB-011326
32572789,MAGIC apartment with PRIVATE TERRACE,238757654,Esther,Eixample,la Sagrada Família,41.4013,2.17842,Entire home/apt,150,1,48,2022-11-23,1.04,2,344,4,HUTB-008441
32161334,SAGRADA FAMILIA SUNNY & COOL,4149600,Oriol,Eixample,la Sagrada Família,41.40032,2.1743,Entire home/apt,200,1,86,2022-10-02,1.90,1,336,17,HUTB-006488
32626419,ENRIQUE GRANADOS 2 PAX BARCELONA,148946579,Barnapartments,Eixample,l'Antiga Esquerra de l'Eixample,41.39461,2.1539,Entire home/apt,105,2,63,2022-11-29,1.44,23,228,33,HUTB008826
32626426,ENRIQUE GRANADOS 2 PAX B,148946579,Barnapartments,Eixample,l'Antiga Esquerra de l'Eixample,41.39449,2.15494,Entire home/apt,105,2,10,2019-09-15,0.22,23,0,0,HUTB-004618
32330651,Modern & Stylish Apartment / Plaza España,64763737,Nina,Sants-Montjuïc,la Font de la Guatlla,41.3723,2.14553,Entire home/apt,71,1,146,2022-11-09,3.14,4,348,40,HUTB-003612
32162629,Double room in city center by Les Rambles,241281166,Joan,Ciutat Vella,el Barri Gòtic,41.37956,2.17754,Private room,48,31,49,2020-02-19,1.06,1,0,0,Exempt
32335832,DOUBLE ROOM in the best location METRO / BUS,192913398,Oscar,Sants-Montjuïc,la Font de la Guatlla,41.36835,2.14334,Private room,49,1,98,2022-11-13,2.15,2,343,48,Exempt
32637007,Sunny apartment near Sagrada Familia,20726321,Mª Teresa,Eixample,la Sagrada Família,41.40918,2.17794,Entire home/apt,55,30,18,2022-10-09,0.43,1,214,7,
32175691,Studio apartment with lots of light,168091065,Long Term Apartments,Eixample,la Dreta de l'Eixample,41.39169,2.17742,Entire home/apt,70,31,2,2022-08-03,0.09,27,21,1,Exempt
32649746,Cozy Double Room in Antique House,40846212,Àlex,Gràcia,Vallcarca i els Penitents,41.41262,2.14433,Private room,26,31,89,2022-10-13,1.95,5,168,29,Exempt
32335920,Spectacular apartment in central Barcelona.,4361013,Fernando,Eixample,Sant Antoni,41.37578,2.15367,Private room,190,2,1,2019-02-27,0.02,1,0,0,Exempt
